<tbl>
<tt> Code(s) für Sprachen des Textes
<dt> 1500.tab
<tag> 1500
<row>Sango-Sprache QQ /1sag
<row>Sanskrit QQ /1san
<row>Santālī QQ /1sat
<row>Sardisch QQ /1srd
<row>Sasak QQ /1sas
<row>Schan-Sprache QQ /1shn
<row>Schona-Sprache QQ /1sna
<row>Schottisch QQ /1sco
<row>Schwedisch QQ /1swe
<row>Selkupisch QQ /1sel
<row>Semitische Sprachen (Andere) QQ /1sem
<row>Serbisch QQ /1srp
<row>Serer-Sprache QQ /1srr
<row>Sidamo-Sprache QQ /1sid
<row>Sindhi-Sprache QQ /1snd
<row>Singhalesisch QQ /1sin
<row>Sinotibetische Sprachen (Andere) QQ /1sit
<row>Sioux-Sprachen QQ /1sio
<row>Slave-Sprache QQ /1den
<row>Slawische Sprachen (Andere) QQ /1sla
<row>Slowakisch QQ /1slo
<row>Slowenisch QQ /1slv
<row>Sogdisch QQ /1sog
<row>Somali QQ /1som
<row>Songhai-Sprache QQ /1son
<row>Soninke-Sprache QQ /1snk
<row>Sorbisch QQ /1wen
<row>Spanisch QQ /1spa
<row>Süd-Sotho-Sprache QQ /1sot
<row>Sukuma-Sprache QQ /1suk
<row>Sumerisch QQ /1sux
<row>Sundanesisch QQ /1sun
<row>Susu QQ /1sus
<row>Swahili QQ /1swa
<row>Swasi-Sprache QQ /1ssw
<row>Syrisch QQ /1syr
<row>Tadschikisch QQ /1tgk
<row>Tagalog QQ /1tgl
<row>Tahitisch QQ /1tah
<row>Tamašeq QQ /1tmh
<row>Tamil QQ /1tam
<row>Tatarisch QQ /1tat
<row>Telugu-Sprache QQ /1tel
<row>Temne-Sprache QQ /1tem
<row>Tereno-Sprache QQ /1ter
<row>Tetum-Sprache QQ /1tet
<row>Thailändisch QQ /1tha
<row>Thaisprachen (Andere) QQ /1tai
<row>Tibetisch QQ /1tib
<row>Tigre-Sprache QQ /1tig
<row>Tigrinja-Sprache QQ /1tir
<row>Tiv-Sprache QQ /1tiv
<row>Tlingit-Sprache QQ /1tli
<row>Tokelauanisch QQ /1tkl
<row>Tonga <Bantusprache, Sambia> QQ /1tog
<row>Tongaisch QQ /1ton
<row>Trukesisch QQ /1chk
<row>Tschagataisch QQ /1chg
<row>Tschechisch QQ /1cze
<row>Tscheremissisch QQ /1chm
<row>Tschetschenisch QQ /1che
<row>Tschuwaschisch QQ /1chv
<row>Tsimshian-Sprache QQ /1tsi
<row>Tsonga-Sprache QQ /1tso
<row>Tswana-Sprache QQ /1tsn
<row>Tumbuka-Sprache QQ /1tum
<row>Türkisch QQ /1tur
<row>Turkmenisch QQ /1tuk
<row>Tuwinisch QQ /1tyv
<row>Twi-Sprache QQ /1twi
<row>Ugaritisch QQ /1uga
<row>Uigurisch QQ /1uig
<row>Ukrainisch QQ /1ukr
<row>Ungarisch QQ /1hun
<row>Unitario QQ /1art
<row>Urdu QQ /1urd
<row>Usbekisch QQ /1uzb
<row>Vai-Sprache QQ /1vai
<row>Venda-Sprache QQ /1ven
<row>Vietnamesisch QQ /1vie
<row>Volapük QQ /1vol
<row>Wakash-Sprachen QQ /1wak
<row>Walamo-Sprache QQ /1wal
<row>Waray QQ /1war
<row>Washo-Sprache QQ /1was
<row>Weißrussisch QQ /1bel
<row>Wolof-Sprache QQ /1wol
<row>Wotisch QQ /1vot
<row>Xhosa-Sprache QQ /1xho
<row>Yao-Sprache <Bantusprache> QQ /1yao
<row>Yapesisch QQ /1yap
<row>Yoruba-Sprache QQ /1yor
<row>Yupik-Sprache QQ /1ypk
<row>Zande-Sprachen QQ /1znd
<row>Zapotekisch QQ /1zap
<row>Zenaga QQ /1zen
<row>Zhuang QQ /1zha
<row>Zulu-Sprache QQ /1zul
<row>Zuñi-Sprache QQ /1zun
</tbl>
